variavel,descricao,tipo,subtipo
winery,Vinícola: local onde o vinho foi produzido,qualitativa,nominal
wine,vinho,qualitativa,nominal
year,ano,quantitativa,discreta
rating,avaliação: de 4.2 a 4.9,quantitativa,discreta
num_reviews,número de avaliações,quantitativa,discreta
country,país de origem,qualitativa,nominal
region,região do vinho,qualitativa,nominal
price,preço em euros,quantitativa,continua
type,tipo do vinho,qualitativa,nominal
body,"valor do ""corpo"" do vinho: de 2 a 5",quantitativa,discreta
acidity,acidez: de 1 a 3,quantitativa,discreta
